"Firm","Address","Address : Street 1","Address : Street 2","Address : City","Address : State","Address : Zip","Address : Country","Address : Latitude","Address : Longitude","Website","AUSA Attorneys"
"Law Offices of Susan Lea","3940 Laurel Canyon Blvd. #1361 3940 Laurel Canyon Blvd. #1361 Studio City, CA 91604-3709","3940 Laurel Canyon Blvd. #1361","3940 Laurel Canyon Blvd. #1361","Studio City","CA","91604-3709","","34.14205","-118.39423","","Susan June Lea"
"Murphy & Buchal LLP","3425 SE Yamhill 3425 SE Yamhill Portland, OR 97214","3425 SE Yamhill","3425 SE Yamhill","Portland","OR","97214","","45.51602","-122.62918","murphyandbuchal.com","James L. Buchal"
"Mannix Law Firm","2009 State Street 2009 State Street Salem, OR 97301","2009 State Street","2009 State Street","Salem","OR","97301","","44.93446","-123.0167","Mannixlawfirm.com   and oregonanticrimealliance.org","Kevin L. Mannix
Nicole Lynn Weston"
"Murphy & Buchal LLP","3425 SE Yamhill 3425 SE Yamhill Portland, OR Litigation, immigration","3425 SE Yamhill","3425 SE Yamhill","Portland","OR","Litigation, immigration","","","","","James L. Buchal"
"Levy & Nau P.C.","854 Fulton Street Brooklyn, NY 11238","854 Fulton Street","","Brooklyn","NY","11238","","40.68342","-73.96718","www.levynau.com","Roger A. Levy"
"Leslie Blackner Law - ? not sure if still ally","123 Australian Ave Palm Beach, FL 33480","123 Australian Ave","","Palm Beach","FL","33480","","26.70347","-80.03415","","Leslie Blackner"
"Jonathon Moseley ","3823 Wagon Wheel Lane Woodbridge, VA 22192","3823 Wagon Wheel Lane","","Woodbridge","VA","22192","","38.67335","-77.32096","","Jonathon Moseley"
"Vosbikian & Vosbikian, L.L.P.","1060 Kings Hwy N Suite 101 Cherry Hill, New Jersey 08034","1060 Kings Hwy N","Suite 101","Cherry Hill","New Jersey","08034","","39.92183","-75.00383","www.voslaw.com","Steven Sahag Vosbikian"
"Zimolong, LLC","P.O. Box 552 Villanova, PA 19085","P.O. Box 552","","Villanova","PA","19085","","40.03463","-75.35237","www.zimolonglaw.com","James Joseph Fitzpatrick III
Wally Zimolong"
"Monforton Law Offices, PLLC","32 Kelly Court Bozeman, MT 59718","32 Kelly Court","","Bozeman","MT","59718","","45.64482","-111.17769","","Matthew G. Monforton"
"The Federalist Society","","","","","","","","","","fedsoc.org","Carrie Ann Donnell"
"Gibson Law Firm, LLC","1500 SW Taylor Street Portland, OR 97205","1500 SW Taylor Street","","Portland","OR","97205","","45.5199","-122.68828","","Jill Gibson"
"Sorrento Valley Law Group","8632 Via Rancho Cielo Rancho Santa Fe, CA 92067-2833","8632 Via Rancho Cielo","","Rancho Santa Fe","CA","92067-2833","","33.05352","-117.13956","","Randy J. Berholtz"
"Law Offices of Mary Markovich","Raleigh, NC ","","","Raleigh","NC","","","35.78549","-78.64272","","Mary Markovich"
"Woodwark Law","Santa Barbara, CA ","","","Santa Barbara","CA","","","34.41939","-119.69905","","Lorraine G. Woodwark"
"Law Offices of BR Konda","4940 W 77th Street #7 Edina, MN 55435","4940 W 77th Street","#7","Edina","MN","55435","","44.86463","-93.34749","","Aaa sample - replace with name"
"Gilbert & Fox Law Firm","2356 Winners Drive Knoxville, TN 37920","2356 Winners Drive","","Knoxville","TN","37920","","35.88485","-83.89287","","W. Andrew Fox"
"Schulman, LeRoy & Bennett PC","501 Union Street, 7th Floor PO Box 190676 Nashville, TN 37219","501 Union Street, 7th Floor","PO Box 190676","Nashville","TN","37219","","36.166609","-86.777405","","John I. Harris III"
"Stephens & Klinge LLP","10900 NE 8th Street, Suite 1325 Bellevue, WA 98004","10900 NE 8th Street, Suite 1325","","Bellevue","WA","98004","","47.61777","-122.19389","","Richard M. Stephens"
"Bopp Law Firm, PC","1 South Sixth Street Terre Haute, IN 47807-3510","1 South Sixth Street","","Terre Haute","IN","47807-3510","","39.46627","-87.41021","","Corrine L. Youngs
Courtney Turner Milbank
James Bopp, Jr.
Richard E. Coleson"
"Law Offices of Craig P. Alexander","24681 La Plaza, Suite 250 Dana Point, CA 92629","24681 La Plaza, Suite 250","","Dana Point","CA","92629","","33.46875","-117.69909","","Craig P. Alexander"
"Mylar Law, P.C.","2494 Bengal Blvd Salt Lake City, UT 84121","2494 Bengal Blvd","","Salt Lake City","UT","84121","","40.61168","-111.82014","","Frank D. Mylar"
"William W. Mortimer","2201 Knox Avenue Reisterstown, MD 21136","2201 Knox Avenue","","Reisterstown","MD","21136","","39.47815","-76.7218","","William W. Mortimer"
